row,column,value,log10_absolute_value
9,14,3.219584692086738e-08,-7.492200146182307
9,15,9.686311424168216e-09,-8.013841572082422
9,16,3.1829033689777302e-09,-8.497176546096805
10,1,8.281650203402884e-10,-9.081883116980238
10,2,1.4186163150157309e-08,-7.848135049788095
10,3,1.03927697053474e-07,-6.9832686961915575
10,4,4.3294718974895976e-07,-6.36356507500774
10,5,1.1533119711719663e-06,-5.938053200049478
10,6,2.0995326464577616e-06,-5.67787736795806
10,7,2.733670732931409e-06,-5.563253796821097
10,8,2.6416349310270094e-06,-5.578127201254216
10,9,1.9627332119965696e-06,-5.7071387286383635
10,10,1.1647174095403913e-06,-5.933779432890724
10,11,5.752664513980032e-07,-6.240130952582467
10,12,2.462978802511724e-07,-6.608539325875799
10,13,9.473843021866794e-08,-7.023473815650055
10,14,3.37890864980956e-08,-7.471223549397021
10,15,1.1532499262930813e-08,-7.938076564476478
10,16,4.1988332913565655e-09,-8.376871368058223
11,1,7.453485183062594e-11,-10.127640607540913
11,2,1.479358872459823e-09,-8.829926459253167
11,3,1.2605705332729503e-08,-7.899432849032178
11,4,6.14263761627093e-08,-7.211645105044447
11,5,1.9287260486920036e-07,-6.714729454051534
11,6,4.1777165307819673e-07,-6.379061031395856
11,7,6.539943204144019e-07,-6.184426023271138
11,8,7.672584978372635e-07,-6.11505829280374
11,9,6.965043710423322e-07,-6.157076153735914
11,10,5.048192468607513e-07,-6.2968640954317685
11,11,3.018966196057671e-07,-6.520141749828115
11,12,1.5418699482747803e-07,-6.811952256070108
11,13,6.958050346010368e-08,-7.157512433174606
11,14,2.865313097148767e-08,-7.542827915080687
11,15,1.1123823792222353e-08,-7.953745899228195
11,16,4.498976851940855e-09,-8.346886241353262
12,1,6.559066961095085e-12,-11.183157935390746
12,2,1.5002564246482603e-10,-9.823834504749625
12,3,1.4736951844412785e-09,-8.83159233561181
12,4,8.296171582527825e-09,-8.081122274389696
12,5,3.0216806618927355e-08,-7.519751434803729
12,6,7.636868943977383e-08,-7.11708466224483
12,7,1.4049488102963562e-07,-6.8523394991118
12,8,1.9517696524703047e-07,-6.7095714390074965
12,9,2.1117305573787319e-07,-6.675361495659347
12,10,1.830489875137842e-07,-6.737432668958864
12,11,1.3070546313030322e-07,-6.883706259720453
12,12,7.911535293129753e-08,-7.101739230202152
12,13,4.181879929519161e-08,-7.378628440838258
12,14,1.989850304637438e-08,-7.701179594100479
12,15,8.800287499193671e-09,-8.055503139523262
12,16,3.96307445926214e-09,-8.401967767952742
13,1,5.64079758654177e-13,-12.248659484147177
13,2,1.4833508704668674e-11,-10.82875610919808
13,3,1.669245767849532e-10,-9.777479716188939
13,4,1.075164760034386e-09,-8.968524978640527
13,5,4.484832513692111e-09,-8.348253771067492
13,6,1.3019297706599574e-08,-7.885412442063881
13,7,2.7635560940683155e-08,-7.5585317157765814
13,8,4.454098977566445e-08,-7.351240136441332
13,9,5.62240214187697e-08,-7.250078094738518
13,10,5.711301567584491e-08,-7.243264907655209
13,11,4.787857217153652e-08,-7.319858809545263
