upper_to_baseline_coupling_ratio,spectral_radius,stable,lambda_1,relaxation_cycles_1,lambda_2,relaxation_cycles_2,lambda_3,relaxation_cycles_3,lambda_4,relaxation_cycles_4
0.3083128273063307,0.33224364616512203,True,0.33224364616512203,0.9075343184151927,0.101748881881898,0.43758937475350357,0.031242718665581447,0.2885196086380637,0.009624002205617994,0.21535502561790465
0.34154298923797616,0.33303655634426627,True,0.33303655634426627,0.9095018251447451,0.10249622848674148,0.4389951919886913,0.03163764457330779,0.2895690635520107,0.009800598785194518,0.2162016409701034
0.3783547201612557,0.3339213882907654,True,0.3339213882907654,0.9117019587642605,0.10333477652024466,0.44057107980515503,0.03208338986916179,0.2907469634388801,0.010001203717760773,0.2171529166396294
0.4191340439682052,0.33490964063746637,True,0.33490964063746637,0.9141649291894486,0.10427704921165147,0.44234008773677347,0.032587586160894876,0.2920711000723703,0.010229749127840802,0.21822362717032742
0.4643085904631213,0.3360144616229429,True,0.3360144616229429,0.9169255549880201,0.105337641647397,0.4443290268824437,0.033159292255596655,0.29356227108113186,0.010490987488699411,0.2194311205503283
0.5143520796755041,0.33725094013709855,True,0.33725094013709855,0.9200241446145588,0.10653365454637569,0.44656925297976113,0.033809335563231985,0.2952449343745733,0.010790711373959214,0.22079590165446306
0.5697892894952354,0.33863646254035124,True,0.33863646254035124,0.9235075939655757,0.10788524337050685,0.4490976594323586,0.03455075638077273,0.29714804703538944,0.01113604699279528,0.22234238812937165
0.6312015587227867,0.3401911541833699,True,0.3401911541833699,0.9274307672133904,0.10941632082187384,0.45195795105001463,0.03539939314777032,0.29930615430587376,0.011535851852557689,0.22409990348636455
0.6992328832418446,0.3419384313164565,True,0.3419384313164565,0.9318582533288882,0.11115546604155302,0.455202298505668,0.03637466382385585,0.30176082309284774,0.012001261991006687,0.22610400242586626
0.7745966692414834,0.3439056987822113,True,0.3439056987822113,0.936866627829333,0.11313711645453793,0.4588935173634642,0.03750062477317118,0.3045625585983804,0.01254645835782279,0.2283982710562518
0.8580832143051218,0.3461252430741548,True,0.3461252430741548,0.9425474044853389,0.11540315245155813,0.4631079827242327,0.038807429856716515,0.30777341218615784,0.013189761596675172,0.23103682186559574
0.9505679948162328,0.34863539152591255,True,0.34863539152591255,0.9490109455472764,0.1180050381410701,0.46793959603576135,0.04033337928764674,0.3114706010816442,0.013955231767727658,0.23408783253688792
1.0530208465861608,0.3514820407656265,True,0.3514820407656265,0.9563917294169687,0.12100676575094813,0.4735052908984081,0.042127859406221026,0.3157516486109331,0.014875067838656969,0.23763870206853568
1.1665161349761228,0.35472070836832437,True,0.35472070836832437,0.9648555829514911,0.1244889894996204,0.4799528483396659,0.04425566771762778,0.3207418804119431,0.015993318235002035,0.24180380292470524
1.2922440211617323,0.35841934381328683,True,0.35841934381328683,0.9746098286207013,0.1285549694286356,0.48747228202105375,0.04680356658872607,0.3266057054498651,0.01737182743859964,0.24673656974632993
1.4315229426830212,0.36266227253417727,True,0.36266227253417727,0.9859178820209987,0.13333936092501944,0.49631293719125874,0.04989057281901686,0.33356424701540927,0.01910016868043803,0.2526491455074396
1.5858134391564571,0.3675558872131342,True,0.3675558872131342,0.9991208756975895,0.13902165793176052,0.5068101227847975,0.05368483308394745,0.34192420692469977,0.021313009638212938,0.2598457090718471
1.7567334681314135,0.3732371411377094,True,0.3732371411377094,1.014670826942811,0.14584762482493843,0.5194284773734895,0.05843285981994286,0.3521279416411912,0.024221814465384756,0.26878096022405773
1.9460753716998525,0.37988675575374353,True,0.37988675575374353,1.0331837098258745,0.15416531362744373,0.5348366415522768,0.0645138390298403,0.364846923127915,0.028173913137360035,0.28016236455053894
2.1558246717785052,0.38775085045407853,True,0.38775085045407853,1.0555289686085543,0.16448996552287948,0.5540455627036487,0.0725496758547828,0.3811725509299428,0.03375646709111707,0.2951085815316994
2.3881808911590836,0.39717884128959996,True,0.39717884128959996,1.0829911052003962,0.1776328872874521,0.5786915507126358,0.08365044867927464,0.40304565677772125,0.04193096541889213,0.31528528006526363
2.645580618665161,0.4086963100688889,True,0.4086963100688889,1.1175895081364748,0.19499658402785347,0.6117056338604887,0.09999353582661699,0.43428228966434784,0.054010605603187545,0.34263298042094836
2.930723060287022,0.42316593370543976,True,0.42316593370543976,1.1628030036545578,0.21941183982781118,0.6592806279902442,0.125972856095845,0.4826979751370675,0.07102530969675971,0.3781120048881324
3.246598344234852,0.4422378179761707,True,0.4422378179761707,1.2256291429486021,0.2582605624459932,0.7386690357825642,0.16831946757576322,0.5612013935339387,0.09279422520789242,0.42063273039714805
3.5965188767294176,0.47045111538095596,True,0.47045111538095596,1.3261487462971915,0.3346976346878503,0.9136360509730874,0.22736978156079768,0.6751384875000402,0.11885221587995927,0.4695112447692036
3.9841540773407553,0.5508909374888447,True,0.5508909374888447,1.6772376666793074,0.46628622037905065,1.3106922148009428,0.2923542222119517,0.8131475404947224,0.1498545811664866,0.5268454316212506
4.4135688581248065,0.8809242153336488,True,0.8809242153336488,7.887450626910449,0.547666405218009,1.6608842235039536,0.3658025224862684,0.9943702265493672,0.1868354696008549,0.5961156302723076
4.889266250067031,1.5592538617387068,False,1.5592538617387068,,0.6666922623702559,2.4665370146740626,0.4463813537908295,1.2398001041505258,0.23062606331865218,0.6816829357987579
5.416234623832519,2.8934839255536486,False,2.8934839255536486,,0.8931592904942361,8.850314325845057,0.528499702349311,1.5681034292579912,0.2818455603405838,0.7896424080823738
6.0,5.569542233266897,False,5.569542233266897,,1.2918713177774603,,0.6272273482601937,2.143869935350233,0.34039779303739737,0.9279533616121372
