cycle,mode_1_lambda,mode_1_amplitude,mode_2_lambda,mode_2_amplitude,mode_4_lambda,mode_4_amplitude,mode_8_lambda,mode_8_amplitude,mode_16_lambda,mode_16_amplitude,mode_24_lambda,mode_24_amplitude
10,0.8499999999999999,0.19687440434072234,0.2646692015437764,1.6866853466986727e-06,0.02575826010523942,1.2857757885159358e-16,0.0002488444029312105,9.1049752444682e-37,2.447289705524892e-08,7.706440569013305e-77,2.0314261950787118e-14,1.1967694198121391e-137
11,0.8499999999999999,0.16734324368961398,0.2646692015437764,4.4641366396632535e-07,0.02575826010523942,3.3119347197612787e-18,0.0002488444029312105,2.2657221284131414e-40,2.447289705524892e-08,1.8859892670785651e-84,2.0314261950787118e-14,2.4311487488755312e-151
12,0.8499999999999999,0.14224175713617185,0.2646692015437764,1.1815194800019902e-07,0.02575826010523942,8.530967596318424e-20,0.0002488444029312105,5.638122702529996e-44,2.447289705524892e-08,4.615562118051809e-92,2.0314261950787118e-14,4.938699252598591e-165
13,0.8499999999999999,0.12090549356574605,0.2646692015437764,3.127118173805446e-08,0.02575826010523942,2.197428822953391e-21,0.0002488444029312105,1.4030152775639798e-47,2.447289705524892e-08,1.1295617656718857e-99,2.0314261950787118e-14,1.0032603031344432e-178
14,0.8499999999999999,0.10276966953088414,0.2646692015437764,8.276518701941195e-09,0.02575826010523942,5.660194318438354e-23,0.0002488444029312105,3.491324990487751e-51,2.447289705524892e-08,2.764364880883326e-107,2.0314261950787118e-14,2.038049260269917e-192
15,0.8499999999999999,0.08735421910125149,0.2646692015437764,2.1905395964049085e-09,0.02575826010523942,1.457967575005335e-24,0.0002488444029312105,8.687966826967386e-55,2.447289705524892e-08,6.765201715300308e-115,2.0314261950787118e-14,4.1401466541731006e-206
16,0.8499999999999999,0.07425108623606376,0.2646692015437764,5.797683659305134e-10,0.02575826010523942,3.755470802199258e-26,0.0002488444029312105,2.1619519177428625e-58,2.447289705524892e-08,1.6556408513653783e-122,2.0314261950787118e-14,8.410402364754721e-220
17,0.8499999999999999,0.06311342330065418,0.2646692015437764,1.5344683049116893e-10,0.02575826010523942,9.673439374068063e-28,0.0002488444029312105,5.379896341367081e-62,2.447289705524892e-08,4.051832811592958e-130,2.0314261950787118e-14,1.7085111674914682e-233
18,0.8499999999999999,0.05364640980555605,0.2646692015437764,4.061265010552088e-11,0.02575826010523942,2.4917096750950955e-29,0.0002488444029312105,1.3387570928992953e-65,2.447289705524892e-08,9.916008728319425e-138,2.0314261950787118e-14,3.470714340226681e-247
19,0.8499999999999999,0.04559944833472263,0.2646692015437764,1.0748917676004977e-11,0.02575826010523942,6.418210591784108e-31,0.0002488444029312105,3.331422094524482e-69,2.447289705524892e-08,2.4267346080711105e-145,2.0314261950787118e-14,7.050500026371808e-261
20,0.8499999999999999,0.038759531084514236,0.2646692015437764,2.8449074587680216e-12,0.02575826010523942,1.6532193783337766e-32,0.0002488444029312105,8.290057420237874e-73,2.447289705524892e-08,5.938922624373411e-153,2.0314261950787118e-14,1.432257044197484e-274
21,0.8499999999999999,0.03294560142183709,0.2646692015437764,7.529593855780662e-13,0.02575826010523942,4.2584054758143635e-34,0.0002488444029312105,2.062934389004545e-76,2.447289705524892e-08,1.4534264200537925e-160,2.0314261950787118e-14,2.909524477668777e-288
22,0.8499999999999999,0.028003761208561524,0.2646692015437764,1.9928515937583923e-13,0.02575826010523942,1.096891158796022e-35,0.0002488444029312105,5.133496763180976e-80,2.447289705524892e-08,3.5569555155355438e-168,2.0314261950787118e-14,5.91048423915906e-302
23,0.8499999999999999,0.023803197027277293,0.2646692015437764,5.274464401152759e-14,0.02575826010523942,2.825400777540541e-37,0.0002488444029312105,1.2774419369830716e-83,2.447289705524892e-08,8.704900616180121e-176,2.0314261950787118e-14,1.200671253e-315
24,0.8499999999999999,0.020232717473185696,0.2646692015437764,1.3959882816241734e-14,0.02575826010523942,7.277740812943496e-39,0.0002488444029312105,3.1788427608784146e-87,2.447289705524892e-08,2.1303413665594897e-183,2.0314261950787118e-14,0.0
25,0.8499999999999999,0.01719780985220784,0.2646692015437764,3.694751038619384e-15,0.02575826010523942,1.8746194083831513e-40,0.0002488444029312105,7.910372288429899e-91,2.447289705524892e-08,5.213562495634869e-191,2.0314261950787118e-14,0.0
26,0.8499999999999999,0.014618138374376661,0.2646692015437764,9.77886807294431e-16,0.02575826010523942,4.828693431946325e-42,0.0002488444029312105,1.9684518690779314e-94,2.447289705524892e-08,1.275909782467788e-198,2.0314261950787118e-14,0.0
27,0.8499999999999999,0.01242541761822016,0.2646692015437764,2.5881652048680973e-16,0.02575826010523942,1.2437874138853465e-43,0.0002488444029312105,4.898382300595231e-98,2.447289705524892e-08,3.1225208758119216e-206,2.0314261950787118e-14,0.0
28,0.8499999999999999,0.010561604975487134,0.2646692015437764,6.850076182358237e-17,0.02575826010523942,3.203779972248183e-45,0.0002488444029312105,1.2189350189204296e-101,2.447289705524892e-08,7.641713194661086e-214,2.0314261950787118e-14,0.0
29,0.8499999999999999,0.008977364229164063,0.2646692015437764,1.8130041936987944e-17,0.02575826010523942,8.252379784512542e-47,0.0002488444029312105,3.0332515699519806e-105,2.447289705524892e-08,1.8701486033867808e-221,2.0314261950787118e-14,0.0
30,0.8499999999999999,0.007630759594789452,0.2646692015437764,4.79846372341778e-18,0.02575826010523942,2.125669449766937e-48,0.0002488444029312105,7.548076758648575e-109,2.447289705524892e-08,4.576795424870223e-229,2.0314261950787118e-14,0.0
31,0.8499999999999999,0.006486145655571033,0.2646692015437764,1.2700055623137601e-18,0.02575826010523942,5.475354658485792e-50,0.0002488444029312105,1.8782966542848513e-112,2.447289705524892e-08,1.120074432757832e-236,2.0314261950787118e-14,0.0
32,0.8499999999999999,0.005513223807235377,0.2646692015437764,3.3613135813373763e-19,0.02575826010523942,1.4103560946171137e-51,0.0002488444029312105,4.6740360946320414e-116,2.447289705524892e-08,2.7411466287098748e-244,2.0314261950787118e-14,0.0
33,0.8499999999999999,0.00468624023615007,0.2646692015437764,8.896361817108149e-20,0.02575826010523942,3.632831912615728e-53,0.0002488444029312105,1.1631077212476372e-119,2.447289705524892e-08,6.70837992577594e-252,2.0314261950787118e-14,0.0
34,0.8499999999999999,0.003983304200727559,0.2646692015437764,2.3545929787785532e-20,0.02575826010523942,9.357542932377032e-55,0.0002488444029312105,2.894328464385491e-123,2.447289705524892e-08,1.6417349133101296e-259,2.0314261950787118e-14,0.0
35,0.8499999999999999,0.0033858085706184246,0.2646692015437764,6.2318824365390164e-21,0.02575826010523942,2.4103402479811236e-56,0.0002488444029312105,7.202374386068148e-127,2.447289705524892e-08,4.017800952544681e-267,2.0314261950787118e-14,0.0
36,0.8499999999999999,0.0028779372850256603,0.2646692015437764,1.6493873485934651e-21,0.02575826010523942,6.208617104962507e-58,0.0002488444029312105,1.7922705537881721e-130,2.447289705524892e-08,9.832722910010703e-275,2.0314261950787118e-14,0.0
37,0.8499999999999999,0.002446246692271811,0.2646692015437764,4.365420325886388e-22,0.02575826010523942,1.599231742834628e-59,0.0002488444029312105,4.459964958486077e-134,2.447289705524892e-08,2.406352155494795e-282,2.0314261950787118e-14,0.0
38,0.8499999999999999,0.002079309688431039,0.2646692015437764,1.1553923120553224e-22,0.02575826010523942,4.11934272004897e-61,0.0002488444029312105,1.1098373171885889e-137,2.447289705524892e-08,5.889040858010046e-290,2.0314261950787118e-14,0.0
39,0.8499999999999999,0.001767413235166383,0.2646692015437764,3.057967607014999e-23,0.02575826010523942,1.0610710124564584e-62,0.0002488444029312105,2.7617680454657086e-141,2.447289705524892e-08,1.4412189067223462e-297,2.0314261950787118e-14,0.0
40,0.8499999999999999,0.0015023012498914252,0.2646692015437764,8.093498448953923e-24,0.02575826010523942,2.733134312898319e-64,0.0002488444029312105,6.872505203084104e-145,2.447289705524892e-08,3.527080193829437e-305,2.0314261950787118e-14,0.0
