mode,independent_reference,numpy_eigenvalue_real,numpy_eigenvalue_imag,scipy_eigenvalue_real,scipy_eigenvalue_imag,numpy_right_backward_error,scipy_right_backward_error,scipy_left_backward_error,numpy_scipy_right_vector_overlap_abs,scipy_left_right_inner_product_abs,scipy_simple_eigenvalue_condition_estimate
12,8.73323753251947002e-20,8.73323757151527824e-20,0.00000000000000000e+00,8.73323757151527824e-20,0.00000000000000000e+00,9.47971374582201709e-23,9.47971374582201709e-23,1.11457589957669532e-23,1.00000000000000000e+00,9.91669759344423363e-01,1.00840021648041755e+00
13,1.65072788530362279e-21,1.65072791706287957e-21,0.00000000000000000e+00,1.65072791706287957e-21,0.00000000000000000e+00,2.22181571035396925e-23,2.22181571035396925e-23,2.02487549189088423e-24,1.00000000000000022e+00,9.84764112696753902e-01,1.01547161102522621e+00
14,3.12046468420857885e-23,3.12046473834529057e-23,0.00000000000000000e+00,3.12046473834529057e-23,0.00000000000000000e+00,7.85001606017259522e-23,7.85001606017259522e-23,3.17913171889089037e-25,1.00000000000000022e+00,9.73181016620607409e-01,1.02755806260229177e+00
15,5.89524133703231040e-25,5.89523588269877159e-25,0.00000000000000000e+00,5.89523588269877159e-25,0.00000000000000000e+00,9.88895748661013803e-23,9.88895748661013803e-23,5.11215504041309488e-25,1.00000000000000000e+00,9.54365690472859241e-01,1.04781637686967799e+00
16,1.11184745094909340e-26,1.11183249335855005e-26,0.00000000000000000e+00,1.11183249335855005e-26,0.00000000000000000e+00,4.48265448473338306e-23,4.48265448473338306e-23,1.73439439097467888e-26,9.99999999999999889e-01,9.24696871982683355e-01,1.08143547393629214e+00
17,2.08890497449940456e-28,2.08863826477389360e-28,0.00000000000000000e+00,2.08863826477389360e-28,0.00000000000000000e+00,2.55864087412486607e-23,2.55864087412486607e-23,6.60995989536817210e-27,1.00000000000000044e+00,8.79898311650876730e-01,1.13649496397349248e+00
18,3.88425124131245220e-30,3.88045744858460750e-30,0.00000000000000000e+00,3.88045744858460750e-30,0.00000000000000000e+00,1.13533925212493825e-23,1.13533925212493825e-23,6.75663113834517052e-28,1.00000000000000022e+00,8.20101256003152090e-01,1.21936162477497345e+00
19,6.98100919079478451e-32,6.93441311336567245e-32,0.00000000000000000e+00,6.93441311336567245e-32,0.00000000000000000e+00,3.46796509746863301e-24,3.46796509746863301e-24,4.34719122006246420e-28,1.00000000000000000e+00,7.61676557563575107e-01,1.31289323541578562e+00
20,1.13602754199408719e-33,1.08203192112019474e-33,0.00000000000000000e+00,1.08203192112019474e-33,0.00000000000000000e+00,1.29201732412302622e-24,1.29201732412302622e-24,7.99827060560735987e-29,9.99999999999999889e-01,7.33274728209841409e-01,1.36374534881533482e+00
21,1.50143991152345675e-35,8.86596509202004144e-36,0.00000000000000000e+00,8.86596509202004144e-36,0.00000000000000000e+00,6.21218780403324238e-25,6.21218780403324238e-25,9.82526804534761787e-30,1.00000000000000067e+00,7.63732867590023679e-01,1.30935834037825627e+00
22,1.43521660521835908e-37,1.11691474336243600e-38,0.00000000000000000e+00,1.11691474336243600e-38,0.00000000000000000e+00,1.70615759203430241e-25,1.70615759203430241e-25,1.23374760961664507e-30,1.00000000000000022e+00,8.66804695524030056e-01,1.15366241687863291e+00
