component,mode_1,mode_2,mode_3,mode_4,mode_5,mode_6,mode_7,mode_8,mode_9,mode_10,mode_11,mode_12,mode_13,mode_14,mode_15,mode_16,mode_17,mode_18,mode_19,mode_20,mode_21,mode_22,mode_23,mode_24
11,0.000000000154017911677122380067973519304223392481164489845424686368621,0.0000000162511108619798105719382956277338108575076212513240236074046,0.000000747974157590162286882685532569994332438957321103618822775197,0.0000197601904605072700305448225158840231195092203376637189961663,0.00033147751774606813937450609197511819234387609984182754164926,0.0036816862873860877535397479567584217330040426307110622960413,0.0272897730706964280808217786306438935875602828930308877647392,0.131739204408413868205604921901072041642091078535175244954041,-0.383342399659852482646206356225014857238457986519630373208465,-0.531001260008469437206817056698717375343101875522491416016934,0.0308240674055668195894432301379921498877404441529996642160443,0.492444532679030411382781096517166114507046096139547237475073,0.507550638446891431354278649768918883844366879879739032356325,-0.315649006004111910768224116764779304474023130070428112015962,0.151305365639822599985802990992971719174914679866879442166758,-0.0613004258309129330398822394558090260809521137656877431556768,-0.0219965057275241000636827862097636416127042403762593978264948,0.00716836606058662450881133510353082006687581220125420135771922,-0.00213482385761256938779895322632257993251435269051048230227223,0.000569361377176125314836971052247464289398792062490091524159307,-0.000130348491604266842850025804525689818649363651001047006653074,0.0000244843245580352151272904189953924029570339029282248282983347,-0.00000355996438057559219224442387509851232798476730674758324172562,-0.000000347831683061274228767069955889878810752969086289351617251401
12,0.0000000000150799543663872820362893136614653276853772305576338466307247,0.00000000178830149088047802840453153454916644510166698637055392659228,0.000000093347010646306793263834826432447316612264162627494919602896,0.00000282953884227116342262651531180994492515712116410224746523138,0.0000553095596748004162302296713427009896513814657737240306344328,0.000731280543414690263646514924744504745377174537891373577250223,0.00665680330803186315980088287714191718034201162921852624892447,0.0414724957293793826426195937734326607208048291301806595160532,-0.170723284920758815660190556620292058106633119063152684136501,-0.423427288378043697870317597023295497170682417893962462751855,-0.472511186195666668112890703006857188158167362977320982127902,0.153020419552911821327069575366882664683224465222585555550659,-0.415089907068718026296980128285315544237989889308241969244483,0.533734365023998460365769004718741653536549495585250917871692,-0.377990170462174580244062518172337901290294017201425993526544,0.201002773063621366903286107113349502356501853366887062154239,0.0890383950134221115854842432617101996469986402696229792141024,-0.0345020080766892908828933730678529769754211030488899008690133,0.0119205360961907644249894922818443938089768147493468954068286,-0.00362977550948619273419083446854599202444322259806787114174639,0.000939200427411382214223951406280789131241207248082881680206917,-0.000198002718337398204434367569620462755992449987839100386669652,0.0000321331797958725098896101855881815837748630896463192308170305,0.00000348791487666879018259043725902943806145112234805964562069118
13,0.00000000000145876453854671901460269778764137380140292736369870550985749,0.000000000192992586877405774633001324116822409971075142578025028432077,0.0000000113184238089213680143416574396866009784834093597741457149068,0.000000388944294452529055636971681899265736380214792907679032639315,0.00000872041430151125702644010770194052321833104767105437000189325,0.000134337729556133952225820238177718117972887693003246766586529,0.00145634070793945593513062839794110387458587384173479492507308,0.0111609618180689121040680438585123269114878763458992242930523,-0.0595661599840703660565259518735323664247993676760755931586893,-0.211856610112585398840750806812479173897854916592270602118256,-0.450500240621086355235454263299490123551886215372641798892439,-0.394367129829830988296560841108858850529939267746903407876097,-0.257342429509219135043016796341980973939567228709586733698598,-0.319669380456304462805295476225074126441424832575965111902148,0.541654498887394596545930124292352078490891881973561357639592,-0.438859952665170026264674102531814340947340167013608784016977,-0.258426781255040456336699051293752670305877327427193489662491,0.124517063668182420297598753047408469000961811281632602164354,-0.0514477739098107955822165017859119724216338615230058575191859,0.0182921218146481759254237772580070274369270687392959540158401,-0.00544550565206216097911502979311364559456418623117154900030246,0.00130758629071859332660348322415721407952024791687683158823409,-0.000239808875680635351557100489958422675948905122397770359220239,-0.0000292261663572592714955174957961784955457987511343582488400766
14,0.000000000000139417789915848721987156497942515827357772722176670617024943,0.0000000000204551049172535252788482803321740785085420726873689314118205,0.00000000133772376285388433862078591914604055548148055913461816876866,0.000000051618958979431285498792344870332797481382727018647258110666,0.00000131127927328642397440563392567346568469157820948712537194695,0.000023159131523540126345109055303781408035003304253705776493455,0.000292484647536931017846193732772960312055594201016070991575079,0.00267090854215228491524777485856305691498654125721042138994406,-0.0175700412933312045419867652735854527042211618542049610791759,-0.0814729739021889570623994233173293025577450964903683967759472,-0.252749679958781287682489014805240257395850988006457307915024,-0.461683259158238965388177726154841229371183126396593632096112,0.300642956549698117823462678791470715319813428673003909937506,-0.338797668873242743389558694842639194383646148293921835008927,-0.210775362653694686653513869606754336503306588894628066376148,0.528651079272582276008133544154321688441769586936199695688208,0.494011016706569804248756884336647265345182472910541946255982,-0.321502949432396573822738082233655404019811465351717072326188,0.166798807069140136493791915119371506069846871834176964929734,-0.0715734607384862029925634359805541718560338097836075480731374,0.0251260658899827589389109684401540441540959966210316201955212,-0.00700698080496443726565806425929607017468152818961435278054717,0.00147546423564092382707755645575713313973516487899037357359523,0.000204580542210425223343699572439351863415804723102612872811571
15,0.0000000000000131644814294313926802030320136422644513375467819963809155769,0.00000000000213175591395203045016353620455433487225403084395701956701787,0.000000000154518306067098886247752715046785443359840320593239977012137,0.00000000664389579536973091358267045264483691924580155284290376490586,0.000000189366166021326530359119197092335601770448153662986928989192,0.00000378648581071911047133655535555312867934558159493208802548834,0.0000547941944481675120362566212993544097877032297964740080244991,0.000582822139767384792562560979905061012589842125284121616151183,-0.00457149563548072827138299355058584924896459290269027824594872,-0.0261925083317789970473479433935684414616985038339246558991715,-0.106668484475458153919954417114617145376161297112867906089316,-0.290585267248508481725272023397089675628528981234871895343461,0.454988696148450281166431929320092718356837140904802316560695,0.196623471070289573447482471893313280159727518696858075841015,-0.393442926686972277468479518805680483501529852070830757569911,-0.094302645847958512622022123633750299134635617108561255186835,-0.493294484474074929990473319794372374787842245967957247208378,0.538500057514177313072062010888521912527589531140849006690324,-0.385425334329349911480195565140186202195325849525169966183716,0.210744793446397875528661161420109009168698915540141198118611,-0.0905047007185275520944229187780654918052119499709198164144519,0.0301181762686388668012247016609918141490813211760061692218009,-0.00743651917531942072865674998763311650556747920577236693591747,-0.00119307205136027098116818772682166503574821876560966639942915
16,0.00000000000000122818861764500058298586370394148253674302194065586635414089,0.000000000000218675520691400868126280778254408865123267299479956276899816,0.0000000000174815751010372928052749980651682241890009318019361627173608,0.000000000832339041530832828090722589051200150997678868874394008779301,0.0000000264077722869222465797355815802443633278047760241909503084174,0.000000591843128794896680904233954580797098161014030601483228485412,0.00000968733087708186773882913251999137237147468885956422826838277,0.000117985508994887567380340518165198924559302886921198822240667,-0.00107776946808192845816862219525804239540518910950448014175683,-0.00736918053899128760632819369217118628342649024196017616516072,-0.0371921214138419376040610250742321147693869570517887038962911,-0.134134107044348236602903179376424674808902355049197347463245,0.322310685197384640219474399786968710060581575482370919212099,0.429612135270172395467306429410947774713806868251681570351185,0.0885951529717364396135668559925425330937328337444774423969061,-0.418831384788266056853152272320825234947301965890233341932257,-0.0226554186491760708534828166553981723780098637154388320113867,-0.436233838625486320047768464092969069408556855789419276748594,0.566994671044504194074222016162516830573537135663249510652993,-0.440808761680631277806051523228424116039680317143899355582069,0.246299758269156675936518307888056005850232668802844353221505,-0.101873503606597848968449528399832639362113059334305622147593,0.0303733003887744224337710077165263841789729715593905992036076,0.0057656904115826568241475525471219612409510286993280519501404
17,0.000000000000000113227370341389067611232180756231528204089635516471152920463,0.0000000000000221012814216563130395091281427754827844307671899245692299674,0.00000000000194094542417798983519335648014001350056540964705381865742745,0.00000000010180650917320084014393663033163302246491235666978537440472,0.00000000357210492524186155175159547485303704497984343215076644124056,0.0000000889958020589794611343280677499626413156746654524849137518771,0.0000016306044078995655557482585539819101511048926791543479551283,0.0000224381850542775759837715089237862019319160612732492914095615,-0.000234515864315587057344702655146890811648220114340718195647349,-0.00186714855262721754748694642488322788834672868200632996252294,-0.0112576129339046846915791411626761231013237188993741270491042,-0.0504993174694945861686273521845011343289748141279298480713414,0.162331522949788888040455269466079666223452448695481012049025,0.344902044205476209091282544530339525060193304094997287636885,0.386192037701409953571694763338054228247855997506492575715419,-0.0164825337010456082212102948804721833877176108633673682798508,0.414531934660138504084383232450683145022175845196678985376971,-0.131822170481651558639902396765406027247676265450939826384042,-0.362528529714204074833040516140467042929420456596483884278084,0.576386807453584370800032082057265838075295905241859544358817,-0.476842877304541269328279074945325909354098525076817421488548,0.262683989592325241382340851092375698488235823255205326992236,-0.0988263696466762512860129046013665240451985178049057895293868,-0.0228943986572792566452530254072214166458567476120331695237877
18,0.0000000000000000103169174425522141315267341434515899384445353872841081357415,0.000000000000002203068570865494236453395487161945376446385421755519040174,0.000000000000211873471827949693889615902784889920422566365879825977655817,0.0000000000121911006368558205885764770160135933961812453018771318519331,0.000000000470480928305151865397913087060206581160512035455944916938289,0.0000000129412770312633447314349448973967327465147558488588412964703,0.000000263151777166652671785246310597018461721832234275136187706832,0.00000404723204974164204975476413166749006064431299341317452827904,-0.0000477303995329959593383989142687081683428318550438697402405506,-0.000434425528292938682249851978127081574643564651337012293718134,-0.00304967260456383492137739881445236643570501365406527947190357,-0.0163646852086723596129838611490942317438587605723180862954786,0.0657204033495157766751692097261135124559590690258557228294876,0.189236556573567044033846977144654061308333053298417543725197,0.355697827056451163802985716696842966130079444476048963762431,0.327015258010638376262514289724213977467344666079464080285746,0.111427628570384376660492704559293382778388656295497521164572,0.382937045436724662022582777966899465180038855949746544974806,-0.223079065484608009680985014813247253721025694133783857867407,-0.287531136979685333520623097925621948816064042244486979123685,0.57317665144322888354137999350045621264038975425791190162977,-0.487550075544220578181195705878718991384790038704300015214804,0.249276133357439767102304514650966476626533496497567168094876,0.0737689446084229365275503003641666107242965680635757206326221
19,0.000000000000000000929403363949711546837057812116192020865667175256284293143973,0.000000000000000216831536797153018387528070615651258563146401963041342482901,0.0000000000000227814991545664420219917397180074763550380062618450313372336,0.00000000000143297776611294785076265645629749788101293786529754968018089,0.0000000000605457251912257945625472518678630050507703820674747372845313,0.00000000182794857247283827927620469252848265216058569479543948140087,0.0000000409520501665082231742221193896181799791136780176399774309259,0.000000697604173001976997535569050680358177439553039320805070521182,-0.00000917854826964102241669298496672514110049847839689812340586533,-0.0000941248442941256763499968642766080964478419242476432378524904,-0.000754650685001916396233755896771913950754572525451358982434734,-0.00471472791674204496756298014369476011965901037634544223925563,0.0226876600790720332829559112503176469459289291115021878801262,0.0820574946486762173311337121996100235777013371058450729190582,0.212450178252266091762112306856812737464699477161839851435669,0.3527986881921961598405087186527805989775600090329712506794,-0.25618514487233397457524384910501255364146557891163162227271,0.189291284090851182748779530736273111958867463080541929605939,0.331664070265344848385316616423473841164677578753103584561482,-0.284260833180773673987936444764023638455000608510605212295779,-0.240486303578957382299923796658799447004835403244679116238745,0.573329615783430906029762244411605540063388563687112870147171,-0.465204068512638902180296311375603298086976047102546560950134,-0.18943785376297459649008107312652995650651174903033032636922
20,8.28217524006078211693960541175470524286018992302425915947882e-20,0.0000000000000000211006913325594244541873754867031491342943733275186213562481,0.00000000000000241780860855997415385050895423269835227538914648902666378911,0.000000000000165775492880993254310668306828601802403087080473915345939546,0.00000000000763785093934309643720160631159986708284915019290292260500102,0.000000000251802237827704128455666241183753474362888580533252701010902,0.00000000617552938200573714190694693489400586216005751036414591470082,0.00000011560659922672662103098577581070887683486854317789013102329,-0.00000168072235436561534429313672952903672448158042735421550041749,-0.0000191884927979750947117995357565848349796929572387836490464497,-0.000173046143618199459328924886822987031682370940114389043721366,-0.00123347319066635876563059204095402671286160716267983792331239,0.006911053393389012402680289955843785547097489283112492224394,0.0300136063677113772136822684048587644084551747560534854856273,0.0982548178709294487649092839303747990525392289889427162099735,0.229403990002812436196681643787777785668742542904215472500856,-0.335560653806796131189561271866914531166823384140300502560898,-0.180089697685065338460436157237187733087335956463101582258594,0.243645149549956550673421866428338561313305333779195111429464,0.27976309719152895856493749842741204424982451199561920848667,-0.30565310698230814396400944426007921477675684645382460688566,-0.255647466006504621786354007709167052707693400285401399119302,0.584176599122651141600251575473375486202398593148342780233867,0.377686526100646655312068831693991769306173781364551644531236
